name,author,narrator,time,releasedate,language,stars,price
The Imagination Box: A Mind of Its Own,Martyn Ford,Joshua Mc Guire,377,2021-09-28,English,4.46,569
Dungeons & Dragons: The Mad Mage's Academy,Matt Forbeck,"Gildart Jackson, Tim Campbell",135,2020-05-26,English,4.46,"1,172"
Scary Stories for Young Foxes: The City,"Christian Mc Kay Heidicker, Junyi Wu-illustrator",Christian Mc Kay Heidicker,553,2021-09-28,English,4.46,703
Med kunglig stämpel,"Jeffrey Archer, Maria Nilsson",Magnus Schmitz,29,2022-07-03,Swedish,4.46,32
Bolt,"Disney, Nils Wadström",Frederick Halbout,141,2022-07-03,Swedish,4.46,166
The Tenth Son,"Ayan Malpani, Ashish Malpani",Yohan Chacko,257,2022-01-03,English,4.46,186
Escape from Falaise,John Flanagan,John Keating,457,2021-01-12,English,4.5,797
The Jungle Book,"Rudyard Kipling, Lisa Church-adaptation",Rebecca K.Reynolds,151,2020-04-08,English,4.46,305
PJ Masks - 3-Minuten-Gutenachtgeschichten,e One,Monty Arnold,31,2022-03-31,German,4.46,99
Opapi-Opapa - Volle Kraft voraus!,Paul Mc Cartney,Kai Lüftner,11,2022-03-29,German,4.46,65
Opapi-Opapa - Besuch von den Krawaffels,Paul Mc Cartney,Kai Lüftner,10,2022-03-29,German,4.46,65
Als Papa auf einen Knopf drückte und wir fast von einem Dino gefressen wurden,Nicolas Gorny,Martin Baltscheit,90,2022-03-31,German,4.46,300
Spidey og hans fantastiske venner,"Marvel, Brian Iskov",Mathias Klenske,8,2022-03-29,Danish,4.46,32
Phantom Stallion: Blue Wings,Terri Farley,Natalie Budig,262,2022-03-29,English,4.46,398
Super Pigiamini - Storie della buonanotte da 5 minuti,Raffaella Casati,Stefan Popa,64,2022-03-30,Italian,4.46,113
Lost Island,Marcy Kate Connolly,Chloe Cannon,239,2022-03-29,English,4.46,469
The Boy Who Hatched Monsters,T.C.Shelley,Jot Davies,573,2022-03-31,English,4.46,493
The Magic Ocean Slide & The Giant Conker,Emma Beswetherick,Hayley Wareham,133,2022-01-04,English,4.46,573
Krieg der Fluten,Dan Jolley,Jacob Weigert,402,2022-03-30,German,4.46,468
The Secret of Splint Hall,Katie Cotton,Julia Barrie,561,2022-01-04,English,4.46,759
Tschakka! - Freunde in Sicht,Mara Andeck,Monika Oschek,149,2022-03-30,German,4.46,367
El candidato novato,Jordi Sierrai Fabra,Aneta Fernández,174,2022-01-04,Spanish,4.46,192
The Call of the Silver Wibbler,Hannah Peck,Charlie Sanderson,93,2022-03-31,English,4.46,569
Frankie Best Hates Quests,Chris Smith,"Chris Smith, Karise Yansen, Roy Mc Millan",391,2022-03-31,English,4.46,410
Trapped in the Overworld,Winter Morgan,Nicol Zanzarella,114,2016-06-30,English,5.0,233
The Boy Who Biked the World: On the Road to Africa,Alastair Humphreys,Alastair Humphreys,115,2022-11-02,English,4.46,569
The 143-Storey Treehouse,"Andy Griffiths, Terry Denton",Stig Wemyss,100,2021-10-19,English,5.0,323
Unicorn Academy: Isla and Buttercup,Julie Sykes,Kristin Atherton,96,2022-10-03,English,4.46,266
Herobrine's War,Mark Cheverton,Nick Walther,381,2022-01-03,English,4.46,703
Small Change for Stuart,Lissa Evans,Lissa Evans,246,2021-01-07,English,4.46,664
The Extreme,Katherine Applegate,Ramónde Ocampo,184,2022-04-01,English,4.46,445
Alain l'alien,Xavier-Laurent Petit,Marion Trintignant,11,2022-09-03,French,4.46,338
Wingfeather Tales,"Andrew Peterson-editor, Jonathan Rogers, N.D.Wilson,",Andrew Peterson,638,2021-03-23,English,4.46,"1,382"
Spider-Man gegen Sandman / Spider-Man und die Marvels,"Mac Kenzie Cadenhead, Sean Ryan, Anke Albrecht-Übersetzer",Christian Zeiger,57,2022-03-21,German,4.46,166
Swamp Sting!,"Sebastian Facio, Blake A.Hoena",anonymous,11,2022-03-16,English,4.46,105
Poison Jungle,Tui T.Sutherland,Shannon Mc Manus,445,2019-07-30,English,5.0,656
39 Clues: Cahills vs. Vespers,Gordon Korman,David Pittu,322,2011-08-30,English,5.0,586
Adventure Time - Too Many Bananas & Other Stories,"Rohini Nilekani, Reshma Thapa-Gurung, Lavina Mahbubani","Avinash Ramachander, Brian Christopher, Seetal Iyer",29,2021-06-16,English,4.46,422
Blue Moon,James Ponti,Elizabeth Klett,419,2021-05-18,English,4.46,586
The Last Kids on Earth: June's Wild Flight,"Max Brallier, Douglas Holgate",Montse Hernandez,196,2020-07-04,English,5.0,754
Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,Dav Pilkey,"Len Forgione, Winston Bromhead, I'ke Mitchell",159,2021-02-04,English,5.0,492
Mermaids of the Deep Blue Sea,Gertrude Chandler Warner,Aimee Lilly,104,2021-01-09,English,4.46,234
Flying Ninja!,Anh Do,Christopher Gebauer,56,2021-05-18,English,4.46,164
Fortress of the Stone Dragon,Tracey West,Emily Ellet,49,2021-04-05,English,4.46,164
Zoey and Sassafras: The Pod and the Bog,Asia Citro,Janina Edwards,65,2021-04-13,English,4.46,468
